Date : 2022-04-27 02:43:00
Directory : /Users/kadirnacar/github/security
Total : 544 files,  121256 codes, 23515 comments, 13101 blanks, all 157872 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders.js                                                 | JavaScript         |          8 |          0 |          1 |          9 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/fragment.glfs.js                                   | JavaScript         |         27 |          0 |          0 |         27 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/fragment2.glfs.js                                  | JavaScript         |         32 |          0 |          0 |         32 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/fragment3.glfs.js                                  | JavaScript         |         30 |          0 |          0 |         30 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/method1.glfs.js                                    | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/method2.glfs.js                                    | JavaScript         |         30 |          1 |          0 |         31 |
| /Users/kadirnacar/github/security/local_modules/fisheyegl/src/shaders/vertex.glvs.js                                     | JavaScript         |         14 |          0 |          0 |         14 |
| /Users/kadirnacar/github/security/mocks/data/Camera/index.json                                                           | JSON               |          1 |          0 |          0 |          1 |
| /Users/kadirnacar/github/security/mocks/data/Settings/index.json                                                         | JSON               |          1 |          0 |          0 |          1 |
| /Users/kadirnacar/github/security/mocks/data/User/index.json                                                             | JSON               |          1 |          0 |          0 |          1 |
| /Users/kadirnacar/github/security/model/v3/model.json                                                                    | JSON               |          1 |          0 |          0 |          1 |
| /Users/kadirnacar/github/security/nx.json                                                                                | JSON               |         35 |          0 |          1 |         36 |
| /Users/kadirnacar/github/security/package-lock.json                                                                      | JSON               |     15,614 |          0 |          1 |     15,615 |
| /Users/kadirnacar/github/security/package.json                                                                           | JSON               |        100 |          0 |          1 |        101 |
| /Users/kadirnacar/github/security/packages/database/.eslintrc.json                                                       | JSON with Comments |          3 |         16 |          0 |         19 |
| /Users/kadirnacar/github/security/packages/database/README.md                                                            | Markdown           |          2 |          0 |          2 |          4 |
| /Users/kadirnacar/github/security/packages/database/project.json                                                         | JSON               |         15 |          0 |          1 |         16 |
| /Users/kadirnacar/github/security/packages/database/src/Lowdb/LowdbBase.ts                                               | TypeScript         |        160 |          1 |         16 |        177 |
| /Users/kadirnacar/github/security/packages/database/src/Services/CameraService.ts                                        | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/kadirnacar/github/security/packages/database/src/Services/SettingsService.ts                                      | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/kadirnacar/github/security/packages/database/src/Services/UserService.ts                                          | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/kadirnacar/github/security/packages/database/src/Services/index.ts                                                | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/kadirnacar/github/security/packages/database/src/index.ts                                                         | TypeScript         |          2 |          0 |          1 |          3 |
| /Users/kadirnacar/github/security/packages/database/src/utils.ts                                                         | TypeScript         |         63 |          7 |         10 |         80 |
| /Users/kadirnacar/github/security/packages/database/tsconfig.json                                                        | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/kadirnacar/github/security/packages/database/tsconfig.lib.json                                                    | JSON               |         10 |          2 |          0 |         12 |
| /Users/kadirnacar/github/security/packages/models/.eslintrc.json                                                         | JSON with Comments |          3 |         16 |          0 |         19 |
| /Users/kadirnacar/github/security/packages/models/README.md                                                              | Markdown           |          4 |          0 |          4 |          8 |
| /Users/kadirnacar/github/security/packages/models/project.json                                                           | JSON               |         15 |          0 |          1 |         16 |
| /Users/kadirnacar/github/security/packages/models/src/index.ts                                                           | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kadirnacar/github/security/packages/models/src/lib/Entities/Camera.ts                                             | TypeScript         |         30 |          0 |          4 |         34 |
| /Users/kadirnacar/github/security/packages/models/src/lib/Entities/IGlRect.ts                                            | TypeScript         |         41 |          0 |          4 |         45 |
| /Users/kadirnacar/github/security/packages/models/src/lib/Entities/Settings.ts                                           | TypeScript         |          9 |          0 |          1 |         10 |
| /Users/kadirnacar/github/security/packages/models/src/lib/Entities/User.ts                                               | TypeScript         |          8 |          0 |          6 |         14 |
| /Users/kadirnacar/github/security/packages/models/src/lib/models.ts                                                      | TypeScript         |         12 |          0 |          1 |         13 |
| /Users/kadirnacar/github/security/packages/models/tsconfig.json                                                          | JSON with Comments |         16 |          0 |          1 |         17 |
| /Users/kadirnacar/github/security/packages/models/tsconfig.lib.json                                                      | JSON               |          8 |          3 |          0 |         11 |
| /Users/kadirnacar/github/security/packages/server/.eslintrc.json                                                         | JSON with Comments |          3 |         16 |          0 |         19 |
| /Users/kadirnacar/github/security/packages/server/project.json                                                           | JSON               |         45 |          0 |          1 |         46 |
| /Users/kadirnacar/github/security/packages/server/src/app/routers/camera.ts                                              | TypeScript         |        145 |          4 |         19 |        168 |
| /Users/kadirnacar/github/security/packages/server/src/app/routers/data.ts                                                | TypeScript         |         95 |          0 |         11 |        106 |
| /Users/kadirnacar/github/security/packages/server/src/app/services/CameraService.ts                                      | TypeScript         |        160 |         25 |         21 |        206 |
| /Users/kadirnacar/github/security/packages/server/src/assets/models/lite_mobilenet_v2/model.json                         | JSON               |     21,549 |          0 |          0 |     21,549 |
| /Users/kadirnacar/github/security/packages/server/src/environments/environment.prod.ts                                   | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/packages/server/src/environments/environment.ts                                        | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/packages/server/src/main.ts                                                            | TypeScript         |         36 |          5 |         11 |         52 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/camera.d.ts                                              | TypeScript         |         81 |         56 |          2 |        139 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/camera.js                                                | JavaScript         |        643 |         75 |          1 |        719 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/access.d.ts                                      | TypeScript         |         20 |         19 |          1 |         40 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/access.js                                        | JavaScript         |         71 |         22 |          1 |         94 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/accessrules.d.ts                                 | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/accessrules.js                                   | JavaScript         |         71 |         21 |          1 |         93 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/action.d.ts                                      | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/action.js                                        | JavaScript         |         81 |         21 |          1 |        103 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/analytics.d.ts                                   | TypeScript         |         27 |        140 |          1 |        168 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/analytics.js                                     | JavaScript         |        168 |        145 |          1 |        314 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/core.d.ts                                        | TypeScript         |        109 |        499 |          1 |        609 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/core.js                                          | JavaScript         |      1,022 |        504 |          1 |      1,527 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/credential.d.ts                                  | TypeScript         |         31 |         19 |          1 |         51 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/credential.js                                    | JavaScript         |        126 |         23 |          1 |        150 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/deviceio.d.ts                                    | TypeScript         |         32 |         18 |          1 |         51 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/deviceio.js                                      | JavaScript         |        131 |         21 |          1 |        153 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/discovery.d.ts                                   | TypeScript         |         18 |         32 |          1 |         51 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/discovery.js                                     | JavaScript         |        259 |         39 |          1 |        299 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/display.d.ts                                     | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/display.js                                       | JavaScript         |         81 |         21 |          1 |        103 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/door.d.ts                                        | TypeScript         |         25 |         18 |          1 |         44 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/door.js                                          | JavaScript         |         96 |         22 |          1 |        119 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/events.d.ts                                      | TypeScript         |         33 |        153 |          1 |        187 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/events.js                                        | JavaScript         |        293 |        202 |          1 |        496 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/imaging.d.ts                                     | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/imaging.js                                       | JavaScript         |         82 |         22 |          1 |        105 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/media.d.ts                                       | TypeScript         |         95 |        463 |          1 |        559 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/media.js                                         | JavaScript         |        711 |        466 |          1 |      1,178 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/media2.d.ts                                      | TypeScript         |         39 |         18 |          1 |         58 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/media2.js                                        | JavaScript         |        186 |         29 |          1 |        216 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/ptz.d.ts                                         | TypeScript         |         56 |        460 |          1 |        517 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/ptz.js                                           | JavaScript         |        912 |        465 |          1 |      1,378 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/receiver.d.ts                                    | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/receiver.js                                      | JavaScript         |         71 |         21 |          1 |         93 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/recording.d.ts                                   | TypeScript         |         33 |         18 |          1 |         52 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/recording.js                                     | JavaScript         |        136 |         21 |          1 |        158 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/replay.d.ts                                      | TypeScript         |         16 |         18 |          1 |         35 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/replay.js                                        | JavaScript         |         51 |         21 |          1 |         73 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/schedule.d.ts                                    | TypeScript         |         28 |         18 |          1 |         47 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/schedule.js                                      | JavaScript         |        111 |         22 |          1 |        134 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/search.d.ts                                      | TypeScript         |         25 |         18 |          1 |         44 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/search.js                                        | JavaScript         |         96 |         21 |          1 |        118 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/security.d.ts                                    | TypeScript         |         58 |         18 |          1 |         77 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/security.js                                      | JavaScript         |        261 |         21 |          1 |        283 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/thermal.d.ts                                     | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/thermal.js                                       | JavaScript         |         72 |         22 |          1 |         95 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/videoanalytics.d.ts                              | TypeScript         |         29 |         18 |          1 |         48 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/modules/videoanalytics.js                                | JavaScript         |        116 |         23 |          1 |        140 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/onvif-nvt.d.ts                                           | TypeScript         |          9 |         19 |          2 |         30 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/onvif-nvt.js                                             | JavaScript         |         56 |         22 |          1 |         79 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/config.d.ts                                        | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/config.js                                          | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/save-xml.d.ts                                      | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/save-xml.js                                        | JavaScript         |         32 |          3 |          1 |         36 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/snapshot.d.ts                                      | TypeScript         |          8 |         33 |          1 |         42 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/snapshot.js                                        | JavaScript         |         61 |         34 |          1 |         96 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/soap.d.ts                                          | TypeScript         |         26 |         46 |          1 |         73 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/soap.js                                            | JavaScript         |        333 |         80 |          1 |        414 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/util.d.ts                                          | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/kadirnacar/github/security/packages/server/src/onvif-nvt/utils/util.js                                            | JavaScript         |        131 |         13 |          1 |        145 |
| /Users/kadirnacar/github/security/packages/server/tsconfig.app.json                                                      | JSON               |          9 |          2 |          0 |         11 |
| /Users/kadirnacar/github/security/packages/server/tsconfig.json                                                          | JSON with Comments |         10 |          0 |          1 |         11 |
| /Users/kadirnacar/github/security/packages/viewer/.eslintrc.json                                                         | JSON with Comments |          3 |         16 |          0 |         19 |
| /Users/kadirnacar/github/security/packages/viewer/project.json                                                           | JSON               |         65 |          0 |          1 |         66 |
| /Users/kadirnacar/github/security/packages/viewer/proxy.conf.json                                                        | JSON               |         28 |          0 |          1 |         29 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/components/Header/index.tsx                                    | TypeScript React   |         61 |          3 |          8 |         72 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/components/Sidebar/index.tsx                                   | TypeScript React   |         91 |          0 |          8 |         99 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/container/main/index.tsx                                       | TypeScript React   |         89 |         17 |         12 |        118 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/reducers/Base/index.ts                                         | TypeScript         |         32 |          0 |          8 |         40 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/reducers/Data/actions.ts                                       | TypeScript         |        120 |          0 |          4 |        124 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/reducers/Data/reducer.ts                                       | TypeScript         |        116 |          1 |          6 |        123 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/reducers/Data/state.ts                                         | TypeScript         |         89 |          1 |         18 |        108 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/reducers/Result.ts                                             | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/services/CameraService.ts                                      | TypeScript         |         71 |          0 |          7 |         78 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/services/DataService.ts                                        | TypeScript         |        184 |         53 |          8 |        245 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/services/ServiceBase.ts                                        | TypeScript         |        124 |         20 |         16 |        160 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/store/StoreHelper.ts                                           | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/store/configureStore.ts                                        | TypeScript         |         28 |          3 |          3 |         34 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/store/index.ts                                                 | TypeScript         |         20 |          0 |          5 |         25 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/store/localStorage.ts                                          | TypeScript         |         18 |          1 |          2 |         21 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/utils.ts                                                       | TypeScript         |         32 |          0 |          4 |         36 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/CameraController.tsx                                | TypeScript React   |        603 |         17 |         44 |        664 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/CameraManagement.ts                                 | TypeScript         |        559 |         10 |         76 |        645 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/CameraView.tsx                                      | TypeScript React   |        191 |         33 |         18 |        242 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/LayoutItem.tsx                                      | TypeScript React   |         73 |          0 |          5 |         78 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/PtzController.tsx                                   | TypeScript React   |        293 |          0 |         31 |        324 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/PursuitController.ts                                | TypeScript         |        247 |         20 |         37 |        304 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/VideoPlayer.tsx                                     | TypeScript React   |        128 |          2 |         20 |        150 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/index copy.tsx                                      | TypeScript React   |        214 |          6 |         19 |        239 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Home/index.tsx                                           | TypeScript React   |        165 |          0 |         16 |        181 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Settings/Form.tsx                                        | TypeScript React   |        309 |          5 |         12 |        326 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Settings/Pursuit.tsx                                     | TypeScript React   |        228 |         16 |         13 |        257 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Settings/SettingsForm.tsx                                | TypeScript React   |        151 |          0 |         17 |        168 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/views/Settings/index.tsx                                       | TypeScript React   |        142 |          0 |         12 |        154 |
| /Users/kadirnacar/github/security/packages/viewer/src/app/withRouter.tsx                                                 | TypeScript React   |         30 |          0 |          3 |         33 |
| /Users/kadirnacar/github/security/packages/viewer/src/environments/environment.prod.ts                                   | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/packages/viewer/src/environments/environment.ts                                        | TypeScript         |          3 |          2 |          2 |          7 |
| /Users/kadirnacar/github/security/packages/viewer/src/index.html                                                         | HTML               |         13 |          0 |          2 |         15 |
| /Users/kadirnacar/github/security/packages/viewer/src/main.tsx                                                           | TypeScript React   |         27 |          0 |          4 |         31 |
| /Users/kadirnacar/github/security/packages/viewer/src/polyfills.ts                                                       | TypeScript         |          2 |          5 |          1 |          8 |
| /Users/kadirnacar/github/security/packages/viewer/src/styles.css                                                         | CSS                |          0 |          1 |          1 |          2 |
| /Users/kadirnacar/github/security/packages/viewer/tsconfig.app.json                                                      | JSON               |         14 |          0 |          1 |         15 |
| /Users/kadirnacar/github/security/packages/viewer/tsconfig.json                                                          | JSON with Comments |         23 |          0 |          1 |         24 |
| /Users/kadirnacar/github/security/packages/viewer/webpack.config.js                                                      | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/kadirnacar/github/security/rtspgo/config.go                                                                       | Go                 |        219 |          8 |         28 |        255 |
| /Users/kadirnacar/github/security/rtspgo/go.mod                                                                          | Go Module File     |         27 |          0 |          4 |         31 |
| /Users/kadirnacar/github/security/rtspgo/go.sum                                                                          | Go Checksum File   |        230 |          0 |          1 |        231 |
| /Users/kadirnacar/github/security/rtspgo/http.go                                                                         | Go                 |         79 |          0 |          9 |         88 |
| /Users/kadirnacar/github/security/rtspgo/main.go                                                                         | Go                 |         28 |          0 |          9 |         37 |
| /Users/kadirnacar/github/security/rtspgo/stream.go                                                                       | Go                 |         79 |          1 |          6 |         86 |
| /Users/kadirnacar/github/security/tools/tsconfig.tools.json                                                              | JSON               |         11 |          2 |          0 |         13 |
| /Users/kadirnacar/github/security/tsconfig.base.json                                                                     | JSON               |         26 |          0 |          1 |         27 |
| /Users/kadirnacar/github/security/types/camera.d.ts                                                                      | TypeScript         |         52 |         56 |          1 |        109 |
| /Users/kadirnacar/github/security/types/camera.js                                                                        | JavaScript         |        538 |         75 |          1 |        614 |
| /Users/kadirnacar/github/security/types/modules/access.d.ts                                                              | TypeScript         |         20 |         19 |          1 |         40 |
| /Users/kadirnacar/github/security/types/modules/access.js                                                                | JavaScript         |         71 |         22 |          1 |         94 |
| /Users/kadirnacar/github/security/types/modules/accessrules.d.ts                                                         | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/types/modules/accessrules.js                                                           | JavaScript         |         71 |         21 |          1 |         93 |
| /Users/kadirnacar/github/security/types/modules/action.d.ts                                                              | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/types/modules/action.js                                                                | JavaScript         |         81 |         21 |          1 |        103 |
| /Users/kadirnacar/github/security/types/modules/analytics.d.ts                                                           | TypeScript         |         27 |        140 |          1 |        168 |
| /Users/kadirnacar/github/security/types/modules/analytics.js                                                             | JavaScript         |        168 |        145 |          1 |        314 |
| /Users/kadirnacar/github/security/types/modules/core.d.ts                                                                | TypeScript         |        109 |        499 |          1 |        609 |
| /Users/kadirnacar/github/security/types/modules/core.js                                                                  | JavaScript         |      1,022 |        504 |          1 |      1,527 |
| /Users/kadirnacar/github/security/types/modules/credential.d.ts                                                          | TypeScript         |         31 |         19 |          1 |         51 |
| /Users/kadirnacar/github/security/types/modules/credential.js                                                            | JavaScript         |        126 |         23 |          1 |        150 |
| /Users/kadirnacar/github/security/types/modules/deviceio.d.ts                                                            | TypeScript         |         32 |         18 |          1 |         51 |
| /Users/kadirnacar/github/security/types/modules/deviceio.js                                                              | JavaScript         |        131 |         21 |          1 |        153 |
| /Users/kadirnacar/github/security/types/modules/discovery.d.ts                                                           | TypeScript         |         18 |         32 |          1 |         51 |
| /Users/kadirnacar/github/security/types/modules/discovery.js                                                             | JavaScript         |        259 |         39 |          1 |        299 |
| /Users/kadirnacar/github/security/types/modules/display.d.ts                                                             | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/types/modules/display.js                                                               | JavaScript         |         81 |         21 |          1 |        103 |
| /Users/kadirnacar/github/security/types/modules/door.d.ts                                                                | TypeScript         |         25 |         18 |          1 |         44 |
| /Users/kadirnacar/github/security/types/modules/door.js                                                                  | JavaScript         |         96 |         22 |          1 |        119 |
| /Users/kadirnacar/github/security/types/modules/events.d.ts                                                              | TypeScript         |         33 |        153 |          1 |        187 |
| /Users/kadirnacar/github/security/types/modules/events.js                                                                | JavaScript         |        293 |        202 |          1 |        496 |
| /Users/kadirnacar/github/security/types/modules/imaging.d.ts                                                             | TypeScript         |         22 |         18 |          1 |         41 |
| /Users/kadirnacar/github/security/types/modules/imaging.js                                                               | JavaScript         |         82 |         22 |          1 |        105 |
| /Users/kadirnacar/github/security/types/modules/media.d.ts                                                               | TypeScript         |         95 |        463 |          1 |        559 |
| /Users/kadirnacar/github/security/types/modules/media.js                                                                 | JavaScript         |        711 |        466 |          1 |      1,178 |
| /Users/kadirnacar/github/security/types/modules/media2.d.ts                                                              | TypeScript         |         39 |         18 |          1 |         58 |
| /Users/kadirnacar/github/security/types/modules/media2.js                                                                | JavaScript         |        186 |         29 |          1 |        216 |
| /Users/kadirnacar/github/security/types/modules/ptz.d.ts                                                                 | TypeScript         |         56 |        460 |          1 |        517 |
| /Users/kadirnacar/github/security/types/modules/ptz.js                                                                   | JavaScript         |        912 |        465 |          1 |      1,378 |
| /Users/kadirnacar/github/security/types/modules/receiver.d.ts                                                            | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/types/modules/receiver.js                                                              | JavaScript         |         71 |         21 |          1 |         93 |
| /Users/kadirnacar/github/security/types/modules/recording.d.ts                                                           | TypeScript         |         33 |         18 |          1 |         52 |
| /Users/kadirnacar/github/security/types/modules/recording.js                                                             | JavaScript         |        136 |         21 |          1 |        158 |
| /Users/kadirnacar/github/security/types/modules/replay.d.ts                                                              | TypeScript         |         16 |         18 |          1 |         35 |
| /Users/kadirnacar/github/security/types/modules/replay.js                                                                | JavaScript         |         51 |         21 |          1 |         73 |
| /Users/kadirnacar/github/security/types/modules/schedule.d.ts                                                            | TypeScript         |         28 |         18 |          1 |         47 |
| /Users/kadirnacar/github/security/types/modules/schedule.js                                                              | JavaScript         |        111 |         22 |          1 |        134 |
| /Users/kadirnacar/github/security/types/modules/search.d.ts                                                              | TypeScript         |         25 |         18 |          1 |         44 |
| /Users/kadirnacar/github/security/types/modules/search.js                                                                | JavaScript         |         96 |         21 |          1 |        118 |
| /Users/kadirnacar/github/security/types/modules/security.d.ts                                                            | TypeScript         |         58 |         18 |          1 |         77 |
| /Users/kadirnacar/github/security/types/modules/security.js                                                              | JavaScript         |        261 |         21 |          1 |        283 |
| /Users/kadirnacar/github/security/types/modules/thermal.d.ts                                                             | TypeScript         |         20 |         18 |          1 |         39 |
| /Users/kadirnacar/github/security/types/modules/thermal.js                                                               | JavaScript         |         72 |         22 |          1 |         95 |
| /Users/kadirnacar/github/security/types/modules/videoanalytics.d.ts                                                      | TypeScript         |         29 |         18 |          1 |         48 |
| /Users/kadirnacar/github/security/types/modules/videoanalytics.js                                                        | JavaScript         |        116 |         23 |          1 |        140 |
| /Users/kadirnacar/github/security/types/onvif-nvt.d.ts                                                                   | TypeScript         |          8 |         19 |          1 |         28 |
| /Users/kadirnacar/github/security/types/onvif-nvt.js                                                                     | JavaScript         |         56 |         22 |          1 |         79 |
| /Users/kadirnacar/github/security/types/utils/config.d.ts                                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/kadirnacar/github/security/types/utils/config.js                                                                  | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/kadirnacar/github/security/types/utils/save-xml.d.ts                                                              | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/types/utils/save-xml.js                                                                | JavaScript         |         32 |          3 |          1 |         36 |
| /Users/kadirnacar/github/security/types/utils/snapshot.d.ts                                                              | TypeScript         |          8 |         33 |          1 |         42 |
| /Users/kadirnacar/github/security/types/utils/snapshot.js                                                                | JavaScript         |         61 |         34 |          1 |         96 |
| /Users/kadirnacar/github/security/types/utils/soap.d.ts                                                                  | TypeScript         |         26 |         46 |          1 |         73 |
| /Users/kadirnacar/github/security/types/utils/soap.js                                                                    | JavaScript         |        333 |         80 |          1 |        414 |
| /Users/kadirnacar/github/security/types/utils/util.d.ts                                                                  | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/kadirnacar/github/security/types/utils/util.js                                                                    | JavaScript         |        131 |         13 |          1 |        145 |
| /Users/kadirnacar/github/security/workspace.json                                                                         | JSON               |          9 |          0 |          1 |         10 |
| Total                                                                                                                    |                    |    121,256 |     23,515 |     13,101 |    157,872 |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
